show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,primary_genre,duration_minutes,seasons
s1,Movie,The Broken Kingdom 1,Unknown,"Priya Johnson, Aisha Kumar, Raj Smith",Egypt,04-11-2024,2023,TV-MA,73 min,"Horror Movies, Documentaries, Independent Movies",A gripping movie exploring themes of survival and identity in Egypt.,2024,November,Horror Movies,73,
s2,Movie,The Broken City 2,Fatima Costa,"Wei Park, Aisha Lee, Fatima Garcia",United States,20-09-2025,2024,TV-MA,73 min,"Documentaries, Independent Movies, Thrillers",A gripping movie exploring themes of survival and identity in United States.,2025,September,Documentaries,73,
s3,Movie,The Golden Memory 3,Fatima Costa,"Min Patel, John Silva, Priya Patel",United States,03-02-2024,2022,TV-MA,118 min,Romantic Movies,A gripping movie exploring themes of survival and identity in United States.,2024,February,Romantic Movies,118,
s4,TV Show,The Broken Memory 4,Unknown,"Priya Nair, Carlos Nair, John Silva, Fatima Rossi, Sara Garcia",France,28-10-2025,2021,TV-14,6 Seasons,"TV Comedies, TV Dramas, Kids' TV",A gripping tv show exploring themes of survival and identity in France.,2025,October,TV Comedies,,6
s5,Movie,The Lost City 5,Tom Khan,"Carlos Müller, David Nair, Anil Tanaka, Anil Costa, David Silva, Fatima Smith, Hana Johnson",United States,23-05-2019,2018,TV-14,157 min,"Comedies, Action & Adventure, Documentaries",A gripping movie exploring themes of survival and identity in United States.,2019,May,Comedies,157,
s6,TV Show,The Silent Storm 6,Unknown,"Carlos Park, Fatima Park, Aisha Johnson, Tom Lee",United Kingdom,21-04-2026,2024,TV-MA,8 Seasons,"Anime Series, Crime TV Shows, Docuseries",A gripping tv show exploring themes of survival and identity in United Kingdom.,2026,April,Anime Series,,8
s7,Movie,The Wild Dreams 7,Wei Costa,"Priya Silva, Tom Johnson, Min Patel, Fatima Patel, Raj Müller, John Müller",Egypt,03-08-2025,2025,TV-14,166 min,Comedies,A gripping movie exploring themes of survival and identity in Egypt.,2025,August,Comedies,166,
s8,Movie,The Silent Storm 8,Fatima Patel,"John Nair, Yuki Nair, Hana Garcia, Sara Costa",United States,11-11-2019,2017,TV-PG,84 min,"Thrillers, Action & Adventure",A gripping movie exploring themes of survival and identity in United States.,2019,November,Thrillers,84,
s9,TV Show,The Silent Legacy 9,Unknown,"Yuki Tanaka, Anil Tanaka, Priya Smith, Elena Nair, Priya Costa",United States,01-09-2019,2019,R,6 Seasons,TV Comedies,A gripping tv show exploring themes of survival and identity in United States.,2019,September,TV Comedies,,6
s10,Movie,The Wild Kingdom 10,Aisha Tanaka,"Hana Park, Yuki Silva, Sara Rossi, Min Smith, Carlos Tanaka, Priya Lee, Raj Johnson",Canada,16-11-2023,2021,TV-MA,140 min,Horror Movies,A gripping movie exploring themes of survival and identity in Canada.,2023,November,Horror Movies,140,
s11,TV Show,The Lost Journey 11,Unknown,"David Smith, Carlos Khan, Elena Tanaka",United Kingdom,08-10-2020,2019,TV-PG,1 Seasons,"TV Dramas, Kids' TV, TV Comedies",A gripping tv show exploring themes of survival and identity in United Kingdom.,2020,October,TV Dramas,,1
s12,TV Show,The Eternal Memory Chronicles 12,Unknown,"Aisha Lee, Aisha Silva, Min Nair",United States,16-10-2020,2016,TV-G,4 Seasons,"Kids' TV, TV Comedies",A gripping tv show exploring themes of survival and identity in United States.,2020,October,Kids' TV,,4
s13,TV Show,The Last Promise 13,Unknown,"Hana Patel, Min Garcia, Aisha Garcia, Fatima Rossi",Spain,04-11-2024,2021,TV-14,1 Seasons,"Romantic TV Shows, TV Comedies, Kids' TV",A gripping tv show exploring themes of survival and identity in Spain.,2024,November,Romantic TV Shows,,1
s14,Movie,The Secret Dreams 14,Carlos Garcia,"Elena Rossi, Hana Nair, Tom Kumar, Wei Silva, Raj Silva, Fatima Costa",Canada,04-09-2015,2015,TV-MA,76 min,"Independent Movies, Dramas, Comedies",A gripping movie exploring themes of survival and identity in Canada.,2015,September,Independent Movies,76,
s15,Movie,The Forgotten Horizon 15,Anil Johnson,"Anil Park, David Kumar, Anil Johnson, Elena Patel, Wei Kumar, Priya Nair, Wei Smith",India,23-07-2019,2018,R,163 min,"Children & Family Movies, Action & Adventure, Documentaries",A gripping movie exploring themes of survival and identity in India.,2019,July,Children & Family Movies,163,
