show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,The Broken Kingdom 1,,"Priya Johnson, Aisha Kumar, Raj Smith",Egypt,"November 4, 2024",2023,TV-MA,73 min,"Horror Movies, Documentaries, Independent Movies",A gripping movie exploring themes of survival and identity in Egypt.
s2,Movie,The Broken City 2,Fatima Costa,"Wei Park, Aisha Lee, Fatima Garcia",United States,"September 20, 2025",2024,TV-MA,73 min,"Documentaries, Independent Movies, Thrillers",A gripping movie exploring themes of survival and identity in United States.
s3,Movie,The Golden Memory 3,Fatima Costa,"Min Patel, John Silva, Priya Patel",United States,"February 3, 2024",2022,TV-MA,118 min,Romantic Movies,A gripping movie exploring themes of survival and identity in United States.
s4,TV Show,The Broken Memory 4,,"Priya Nair, Carlos Nair, John Silva, Fatima Rossi, Sara Garcia",France,"October 28, 2025",2021,TV-14,6 Seasons,"TV Comedies, TV Dramas, Kids' TV",A gripping tv show exploring themes of survival and identity in France.
s5,Movie,The Lost City 5,Tom Khan,"Carlos Müller, David Nair, Anil Tanaka, Anil Costa, David Silva, Fatima Smith, Hana Johnson",United States,"May 23, 2019",2018,TV-14,157 min,"Comedies, Action & Adventure, Documentaries",A gripping movie exploring themes of survival and identity in United States.
s6,TV Show,The Silent Storm 6,,"Carlos Park, Fatima Park, Aisha Johnson, Tom Lee",United Kingdom,"April 21, 2026",2024,TV-MA,8 Seasons,"Anime Series, Crime TV Shows, Docuseries",A gripping tv show exploring themes of survival and identity in United Kingdom.
s7,Movie,The Wild Dreams 7,Wei Costa,"Priya Silva, Tom Johnson, Min Patel, Fatima Patel, Raj Müller, John Müller",Egypt,"August 3, 2025",2025,TV-14,166 min,Comedies,A gripping movie exploring themes of survival and identity in Egypt.
s8,Movie,The Silent Storm 8,Fatima Patel,"John Nair, Yuki Nair, Hana Garcia, Sara Costa",United States,"November 11, 2019",2017,TV-PG,84 min,"Thrillers, Action & Adventure",A gripping movie exploring themes of survival and identity in United States.
s9,TV Show,The Silent Legacy 9,,"Yuki Tanaka, Anil Tanaka, Priya Smith, Elena Nair, Priya Costa",United States,"September 1, 2019",2019,R,6 Seasons,TV Comedies,A gripping tv show exploring themes of survival and identity in United States.
s10,Movie,The Wild Kingdom 10,Aisha Tanaka,"Hana Park, Yuki Silva, Sara Rossi, Min Smith, Carlos Tanaka, Priya Lee, Raj Johnson",Canada,"November 16, 2023",2021,TV-MA,140 min,Horror Movies,A gripping movie exploring themes of survival and identity in Canada.
s11,TV Show,The Lost Journey 11,,"David Smith, Carlos Khan, Elena Tanaka",United Kingdom,"October 8, 2020",2019,TV-PG,1 Seasons,"TV Dramas, Kids' TV, TV Comedies",A gripping tv show exploring themes of survival and identity in United Kingdom.
s12,TV Show,The Eternal Memory Chronicles 12,,"Aisha Lee, Aisha Silva, Min Nair",United States,"October 16, 2020",2016,TV-G,4 Seasons,"Kids' TV, TV Comedies",A gripping tv show exploring themes of survival and identity in United States.
s13,TV Show,The Last Promise 13,,"Hana Patel, Min Garcia, Aisha Garcia, Fatima Rossi",Spain,"November 4, 2024",2021,TV-14,1 Seasons,"Romantic TV Shows, TV Comedies, Kids' TV",A gripping tv show exploring themes of survival and identity in Spain.
s14,Movie,The Secret Dreams 14,Carlos Garcia,"Elena Rossi, Hana Nair, Tom Kumar, Wei Silva, Raj Silva, Fatima Costa",Canada,"September 4, 2015",2015,TV-MA,76 min,"Independent Movies, Dramas, Comedies",A gripping movie exploring themes of survival and identity in Canada.
s15,Movie,The Forgotten Horizon 15,Anil Johnson,"Anil Park, David Kumar, Anil Johnson, Elena Patel, Wei Kumar, Priya Nair, Wei Smith",India,"July 23, 2019",2018,R,163 min,"Children & Family Movies, Action & Adventure, Documentaries",A gripping movie exploring themes of survival and identity in India.
s16,TV Show,The Broken Dreams Chronicles 16,,"Anil Johnson, Priya Silva, David Khan, Hana Müller",Germany,"November 28, 2014",2012,R,4 Seasons,TV Mysteries,A gripping tv show exploring themes of survival and identity in Germany.
s17,TV Show,The Wild Empire 17,,"John Smith, Hana Patel, Fatima Garcia, Sara Smith, Carlos Lee, Yuki Garcia",Mexico,"July 5, 2020",2020,TV-MA,5 Seasons,"TV Comedies, TV Dramas",A gripping tv show exploring themes of survival and identity in Mexico.
s18,Movie,The Eternal Memory 18,John Garcia,"John Smith, Maria Khan, Yuki Johnson, Hana Park, David Tanaka",India,"May 20, 2026",2023,TV-14,173 min,"Independent Movies, Dramas, Horror Movies",A gripping movie exploring themes of survival and identity in India.
